band_datetime
2020-07-04 14:31:53.068948
2020-07-20 14:31:58.756399
2020-08-05 14:32:02.482139
2020-08-21 14:32:08.989854
2020-09-06 14:32:16.424554
2020-09-22 14:32:21.686077
2020-10-08 14:32:24.517031
2020-10-24 14:32:24.685300
2020-11-09 14:32:21.792951
2020-11-25 14:32:24.823361
2020-12-11 14:32:25.881211
2020-12-27 14:32:23.031392
2021-01-12 14:32:16.578262
2021-01-28 14:32:12.963065
2021-02-13 14:32:09.835462
2021-03-01 14:32:03.641597
2021-03-17 14:31:54.115487
2021-04-02 14:31:50.814078
2021-04-18 14:31:44.585027
2021-05-04 14:31:34.954821
2021-05-20 14:31:43.302804
2021-06-05 14:31:51.401742
2021-06-21 14:31:56.669266
2021-07-07 14:31:59.113009
2021-07-23 14:32:03.941456
2021-08-08 14:32:11.304758
2021-08-24 14:32:16.037622
2021-09-09 14:32:20.802032
2021-09-25 14:32:23.847245
2021-10-11 14:32:29.430344
2021-10-27 14:32:30.731822
2021-11-12 14:32:26.854381
2021-11-28 14:32:26.331944
2021-12-14 14:32:25.538201
2021-12-30 14:32:19.538615
2022-01-15 14:32:17.948810
2022-01-31 14:32:13.035023
2022-02-16 14:32:08.470699
2022-03-04 14:32:05.270627
2022-03-20 14:31:57.046092
2022-04-05 14:31:50.833759
2022-04-21 14:31:53.616120
