band_datetime
2013-04-02 14:29:35.097190
2013-04-12 14:33:52.162328
2013-05-14 14:34:02.488693
2013-05-30 14:34:08.079422
2013-06-15 14:34:02.924587
2013-07-01 14:34:02.970446
2013-07-17 14:34:03.044353
2013-08-02 14:34:05.143961
2013-08-18 14:34:06.016475
2013-09-03 14:34:07.129834
2013-09-19 14:34:01.212401
2013-10-05 14:33:57.975913
2013-10-21 14:33:53.058753
2013-11-06 14:33:49.534865
2013-11-22 14:33:39.694686
2013-12-08 14:33:41.250100
2013-12-24 14:33:31.743605
2014-01-09 14:33:21.038167
2014-01-25 14:33:11.959928
2014-02-10 14:32:59.031457
2014-02-26 14:32:46.297352
2014-03-14 14:32:35.584777
2014-03-30 14:32:18.434064
2014-04-15 14:32:02.296624
2014-05-01 14:31:48.365101
2014-05-17 14:31:36.296517
2014-06-02 14:31:41.908341
2014-06-18 14:31:47.605471
2014-07-04 14:31:53.205404
2014-07-20 14:31:57.302606
2014-08-05 14:32:05.489507
2014-08-21 14:32:09.432137
2014-09-06 14:32:12.727095
2014-09-22 14:32:10.464649
2014-10-08 14:32:16.637154
2014-10-24 14:32:17.772748
2014-11-09 14:32:18.846372
2014-11-25 14:32:16.032179
2014-12-11 14:32:09.176961
2014-12-27 14:32:09.222351
2015-01-12 14:32:07.366831
2015-01-28 14:32:02.030579
2015-02-13 14:31:53.163548
2015-03-01 14:31:50.762249
2015-03-17 14:31:40.101936
2015-04-02 14:31:27.595356
2015-04-18 14:31:27.435388
2015-05-04 14:31:14.636009
2015-05-20 14:31:07.551385
2015-06-05 14:31:15.845762
2015-06-21 14:31:23.748103
2015-07-07 14:31:33.310376
2015-07-23 14:31:40.401698
2015-08-08 14:31:43.357365
2015-08-24 14:31:51.464990
2015-09-09 14:31:57.642174
2015-09-25 14:32:04.596264
2015-10-11 14:32:05.511627
2015-10-27 14:32:10.606052
2015-11-12 14:32:10.566924
2015-11-28 14:32:13.917956
2015-12-14 14:32:12.418547
2015-12-30 14:32:11.620087
2016-01-15 14:32:09.755249
2016-01-31 14:32:08.048240
2016-02-16 14:31:59.716022
2016-03-03 14:31:58.113453
2016-03-19 14:31:52.281807
2016-04-04 14:31:43.181572
2016-04-20 14:31:37.313564
2016-05-06 14:31:40.616536
2016-05-22 14:31:41.353615
2016-06-07 14:31:45.853795
2016-06-23 14:31:51.228251
2016-07-09 14:31:59.708624
2016-07-25 14:32:04.734042
2016-08-10 14:32:06.583441
2016-08-26 14:32:13.884312
2016-09-11 14:32:18.242231
2016-09-27 14:32:18.579787
2016-10-13 14:32:24.073082
2016-10-29 14:32:25.822307
2016-11-14 14:32:24.794849
2016-11-30 14:32:24.708425
2016-12-16 14:32:20.521609
2017-01-01 14:32:17.329257
2017-01-17 14:32:13.525257
2017-02-02 14:32:06.495309
2017-02-18 14:32:00.055541
2017-03-06 14:31:53.282784
2017-03-22 14:31:43.003758
2017-04-07 14:31:36.292444
2017-04-23 14:31:26.555053
2017-05-09 14:31:26.466091
2017-05-25 14:31:37.476460
2017-06-10 14:31:45.312848
2017-06-26 14:31:50.461252
2017-07-12 14:31:53.144204
2017-07-28 14:32:01.049588
2017-08-13 14:32:07.164665
2017-08-29 14:32:10.757180
2017-09-14 14:32:11.008040
2017-09-30 14:32:18.641422
2017-10-16 14:32:22.438394
2017-11-01 14:32:22.558365
2017-11-17 14:32:18.807022
2017-12-03 14:32:13.573882
2017-12-19 14:32:16.416285
2018-01-04 14:32:12.649202
2018-01-20 14:32:04.940118
2018-02-05 14:31:56.176978
2018-02-21 14:31:50.575915
2018-03-09 14:31:42.157112
2018-03-25 14:31:34.615917
2018-04-10 14:31:26.469707
2018-04-26 14:31:17.227285
2018-05-12 14:31:07.471895
2018-05-28 14:30:54.865317
2018-06-13 14:30:57.124208
2018-06-29 14:31:07.289364
2018-07-15 14:31:15.058033
2018-07-31 14:31:22.276991
2018-08-16 14:31:31.355515
2018-09-01 14:31:38.164863
2018-09-17 14:31:42.623881
2018-10-03 14:31:50.230848
2018-10-19 14:31:56.584856
2018-11-04 14:32:00.182441
2018-11-20 14:32:00.869769
2018-12-06 14:31:58.604444
2018-12-22 14:31:57.378732
2019-01-07 14:31:56.406415
2019-01-23 14:31:52.702896
2019-02-08 14:31:50.254760
2019-02-24 14:31:47.063244
2019-03-12 14:31:41.351598
2019-03-28 14:31:38.111900
2019-04-13 14:31:33.140228
2019-04-29 14:31:29.485294
2019-05-15 14:31:39.348287
2019-05-31 14:31:48.192089
2019-06-16 14:31:54.783476
2019-07-02 14:31:59.312730
2019-07-18 14:32:01.817638
2019-08-03 14:32:08.908949
2019-08-19 14:32:14.064621
2019-09-04 14:32:17.263976
2019-09-20 14:32:23.136673
2019-10-06 14:32:27.104560
2019-10-22 14:32:28.565625
2019-11-07 14:32:27.231977
2019-11-23 14:32:23.811352
2019-12-09 14:32:23.322845
2019-12-25 14:32:20.057651
2020-01-10 14:32:16.257373
2020-01-26 14:32:12.004444
2020-02-11 14:32:07.442421
2020-02-27 14:32:03.270646
2020-03-14 14:31:56.544222
2020-03-30 14:31:47.384123
2020-04-15 14:31:40.536600
2020-05-01 14:31:32.356585
2020-05-17 14:31:30.411321
2020-06-02 14:31:35.722237
2020-06-18 14:31:45.415823
